id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
43369,0,65,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
38405,0,61,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
67398,0,42,0,0,1,0,0,1,0,NA,NA,NA,NA,0,0
6272,0,40,1,0,1,0,0,1,0,NA,NA,NA,NA,0,0
29627,1,68,1,0,0,0,1,0,50,NA,NA,NA,NA,0,0
466,1,51,1,0,1,0,1,0,25,NA,NA,NA,NA,0,0
33300,0,27,1,0,0,1,1,0,100,NA,NA,NA,NA,0,0
46935,1,55,0,0,0,1,1,0,0,NA,NA,NA,NA,0,0
21990,1,57,1,0,0,1,1,0,19,NA,NA,NA,NA,0,0
65599,1,33,0,0,1,0,0,1,0,0,0,0,-3,1,1
50534,0,61,1,0,0,1,0,1,60,73,70,80,1,1,1
34477,1,22,0,0,0,1,0,1,50,39,50,50,1,1,1
48941,1,49,0,0,0,1,0,1,50,NA,NA,NA,NA,0,0
52497,0,29,1,0,0,1,1,0,63,83,62,62,3,1,1
14755,0,53,1,0,0,1,1,0,80,100,100,100,3,1,1
58687,1,44,0,0,1,0,0,0,100,NA,NA,NA,NA,0,0
10635,1,67,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0
39129,1,42,1,0,0,1,0,0,50,NA,NA,NA,NA,0,0
19315,1,67,0,0,0,1,1,0,50,NA,NA,NA,NA,0,0
7417,1,68,1,0,0,1,1,0,57,NA,NA,NA,NA,0,0
7005,0,55,0,0,0,1,0,1,50,NA,NA,NA,NA,0,0
44625,1,64,0,0,0,1,0,0,31,28,50,35,3,1,1
44034,1,62,1,0,0,1,0,1,50,NA,NA,NA,NA,0,0
64144,1,57,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
34356,1,71,0,0,0,1,1,0,29,50,50,50,1,1,1
67897,1,22,0,0,1,0,0,1,53,NA,NA,NA,NA,0,0
63186,0,46,1,0,1,0,0,0,50,46,50,50,1,1,1
9239,0,55,0,0,0,1,0,0,16,23,29,26,0,1,1
47814,0,30,1,0,0,1,1,0,58,NA,NA,NA,NA,0,0
1292,0,31,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0
26810,0,50,0,0,0,1,0,1,100,100,NA,NA,NA,1,0
364,0,26,0,0,1,0,0,1,100,100,NA,NA,NA,1,0
40658,1,27,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
11401,0,65,1,0,1,0,0,1,18,50,0,10,-1,1,1
57337,0,77,0,0,0,1,0,1,0,0,0,0,-2,1,1
33513,0,30,0,0,0,1,0,0,20,50,0,0,-2,1,1
30195,0,72,1,0,1,0,0,1,28,20,0,50,3,1,1
17093,0,46,0,0,1,0,0,1,50,51,0,50,3,1,1
35277,0,74,0,0,1,0,0,0,0,50,NA,NA,NA,1,0
59215,0,28,1,0,0,1,1,0,100,100,NA,100,3,1,1
48186,1,58,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
25750,0,64,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
3274,0,20,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
40525,0,45,0,0,1,0,0,1,0,NA,NA,NA,NA,0,0
50125,1,63,1,0,0,1,0,0,100,NA,NA,NA,NA,0,0
42226,0,49,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
2383,1,31,0,0,1,0,0,0,89,NA,NA,NA,NA,0,0
34335,0,58,1,0,0,1,1,0,50,NA,NA,NA,NA,0,0
3658,1,48,1,0,0,1,1,0,50,50,50,50,2,1,1
64547,0,32,0,0,1,0,0,1,50,NA,NA,NA,NA,0,0
16581,0,67,1,0,1,0,0,1,82,NA,NA,NA,NA,0,0
64109,1,28,0,0,1,0,1,0,3,NA,NA,NA,NA,0,0
37534,1,60,1,0,1,0,0,1,1,NA,NA,NA,NA,0,0
39145,0,61,1,0,0,1,0,1,0,NA,NA,NA,NA,0,0
60067,0,64,0,0,0,1,0,1,0,NA,NA,NA,NA,0,0
65620,0,48,0,0,0,1,0,1,50,NA,NA,NA,NA,0,0
60457,0,20,0,0,1,0,0,1,41,NA,NA,NA,NA,0,0
16110,0,59,1,0,1,0,1,0,77,50,100,72,3,1,1
